path	target
join	https://join.slack.com/t/dslcio/shared_invite/zt-3mbdl5mg4-u8I21_lC1eXzDmLiUZfJAw
mentordash	https://r4dscommunity.shinyapps.io/mentordash
youtube	https://www.youtube.com/channel/UCCaChdLMTYMxyawR_Qf-kYA
clubs	https://dslc.io/bookclubs.html
bookclubber	https://r4dscommunity.shinyapps.io/bookclubber/
bookrequests	https://docs.google.com/forms/d/e/1FAIpQLSd6rRYBZPSfTBMpAxiFSAQVGn4vKzXVZCwI5hkMQ6PY7wh4zg/viewform?usp=sf_link
sponsor	https://dslc.io/support.html
sponsors	https://dslc.io/support.html
sponsorship	https://dslc.io/support.html
donate	https://dslc.io/support.html
donate!	https://dslc.io/support.html
donation	https://dslc.io/support.html
donations	https://dslc.io/support.html
conduct	https://dslc.io/code_of_conduct.html
calendar	https://calendar.google.com/calendar/embed?src=u9rkjvvr9nlr560qor3aro5clc%40group.calendar.google.com
events	https://calendar.google.com/calendar/embed?src=4qov4iqi3cgjogka2nq3k1uhtg@group.calendar.google.com
advr	https://r4ds.github.io/bookclub-advr/
bayes_rules	https://r4ds.github.io/bookclub-bayes_rules/
comp_genom	https://r4ds.github.io/bookclub-comp_genom/
datavisr	https://r4ds.github.io/bookclub-datavisr/
dataviz	https://r4ds.github.io/bookclub-dataviz/
deepr	https://r4ds.github.io/bookclub-deepr/
do4ds	https://r4ds.github.io/bookclub-do4ds/
dscl	https://r4ds.github.io/bookclub-dscl/
dsieur	https://r4ds.github.io/bookclub-dsieur/
duckdb	https://r4ds.github.io/bookclub-duckdb/
econometrics	https://r4ds.github.io/bookclub-econometrics/
effect	https://r4ds.github.io/bookclub-effect/
efficientr	https://r4ds.github.io/bookclub-efficientr/
ema	https://r4ds.github.io/bookclub-ema/
epgs	https://r4ds.github.io/bookclub-epgs/
feat_eng	https://r4ds.github.io/bookclub-feat_eng/
fnc	https://r4ds.github.io/bookclub-fnc/
fpp	https://r4ds.github.io/bookclub-fpp/
genai	https://r4ds.github.io/bookclub-genai/
geocompr	https://r4ds.github.io/bookclub-geocompr/
geohealth	https://r4ds.github.io/bookclub-geohealth/
ggplot2	https://r4ds.github.io/bookclub-ggplot2/
health_metrics	https://r4ds.github.io/bookclub-health_metrics/
homl	https://r4ds.github.io/bookclub-homl/
httptestr	https://r4ds.github.io/bookclub-httptestr/
islp	https://r4ds.github.io/bookclub-islp/
islr	https://r4ds.github.io/bookclub-islr/
js4ds	https://r4ds.github.io/bookclub-js4ds/
js4r	https://r4ds.github.io/bookclub-js4r/
lsr	https://r4ds.github.io/bookclub-lsr/
mnetanal	https://r4ds.github.io/bookclub-mnetanal/
mshiny	https://r4ds.github.io/bookclub-mshiny/
pharmaexamples	https://r4ds.github.io/bookclub-pharmaexamples/
pml	https://r4ds.github.io/bookclub-pml/
pdl	https://r4ds.github.io/bookclub-pdl/
prob4ds	https://r4ds.github.io/bookclub-prob4ds/
probintro	https://r4ds.github.io/bookclub-probintro/
ps4da	https://r4ds.github.io/bookclub-ps4da/
py4da	https://r4ds.github.io/bookclub-py4da/
r_baseball	https://r4ds.github.io/bookclub-r_baseball/
r4ds	https://r4ds.github.io/bookclub-r4ds/
rlang	https://r4ds.github.io/bookclub-rlang/
ros	https://r4ds.github.io/bookclub-ros/
rpkgs	https://r4ds.github.io/bookclub-rpkgs/
rust	https://r4ds.github.io/bookclub-rust/
rwtf	https://r4ds.github.io/bookclub-rwtf/
shinyui	https://r4ds.github.io/bookclub-shinyui/
smltar	https://r4ds.github.io/bookclub-smltar/
spacestats	https://r4ds.github.io/bookclub-spacestats/
spatial	https://r4ds.github.io/bookclub-spatial/
tidytext	https://r4ds.github.io/bookclub-tidytext/
tidytuesday	https://tidytues.day
tidytuesdayR	https://dslc-io.github.io/tidytuesdayR/
tmwr	https://r4ds.github.io/bookclub-tmwr/
tmwr_es	https://r4ds.github.io/bookclub-tmwr_es/
torch	https://r4ds.github.io/bookclub-torch/
wapir	https://dslc-io.github.io/club-wapir/
cookies	https://cookies.shinyworks.org/
cookiesdemo	https://r4dscommunity.shinyapps.io/cookies/
cookiestest	https://r4dscommunity.shinyapps.io/cookiestest/
mentordashtest	https://r4dscommunity.shinyapps.io/mentordashtest
shinyslack	https://r4dscommunity.shinyapps.io/shinyslack/
shinyslacktest	https://r4dscommunity.shinyapps.io/shinyslacktest
shinyslackgh	https://github.com/r4ds/shinyslack
scenes	https://scenes.shinyworks.org/
scenesdemo	https://r4dscommunity.shinyapps.io/scenes/
scenestest	https://r4dscommunity.shinyapps.io/scenestest/
introdeck	https://docs.google.com/presentation/d/12LvBBn8gCMeEaQMqQCpdNKkqP218qHBk6u53AbWYrZQ/edit?usp=sharing
clubdeck	https://docs.google.com/presentation/d/1HOJS6DRkZ7JzcCyg_fORX7hR0qkCRd-h_aTewo7r1Cw/edit?usp=sharing
ghana202306	https://r4ds.quarto.pub/apis_01_intro-enrich/#/working-with-web-apis-in-r
rapidtalk	https://jonthegeek.quarto.pub/rapid_and_s7/
rladiesrome202305	https://r4ds.quarto.pub/rladies-rome_20230517/#/why-i-hate-summer-time
rstudio2022	https://docs.google.com/presentation/d/1aYucN-fSMrDeo60HPS4xUj2GEIakGnn_RMDnV98DUr0/edit?usp=sharing
rstudio2022v	https://www.rstudio.com/conference/2022/talks/shinyslack-connecting-slack-teams/
proj0101	https://r4ds.quarto.pub/project_club0101/
shinyconf2023	https://r4ds.quarto.pub/shinyconf2023
shinyconf2024	https://dslc-io.github.io/shinyconf2024
nyr2024	https://github.com/dslc-io/nyr2024
user2024	https://dslc-io.github.io/useR2024
useR2024	https://dslc-io.github.io/useR2024
useR2024vid	https://youtu.be/8jH5wfuDx-g?si=gh6v2_7dpb8FK-im
user2024vid	https://youtu.be/8jH5wfuDx-g?si=gh6v2_7dpb8FK-im
ttsurvey23	https://docs.google.com/forms/d/e/1FAIpQLSfQ4omhi5Zpv4XyvDQjjDd_mUEnP5-WOuc7lpiczUWicvJb_w/viewform?usp=sf_link
