cohort_id	playlist_url	book_code	cohort	book_title
advr01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi9lH7q-phZlPrl6HKXYDbn	advr	1	Advanced R
advr02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhPmtka2Wg_NdLk71LJFbVl	advr	2	Advanced R
advr03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhUCEVefMkCEiJKE_C-gwV5	advr	3	Advanced R
advr04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh5cCdh4W2U6Allc6MrUGID	advr	4	Advanced R
advr05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjRvoeE6wS7AWqSA6Sigg5R	advr	5	Advanced R
advr06	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjnCxGKeDNJUfPpRFI2hJjv	advr	6	Advanced R
advr07	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi4I1DhjPufFNbqCry_xQLq	advr	7	Advanced R
advr08	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgr9ZNvaqf4Lb6GN9l6g9dK	advr	8	Advanced R
advr09	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgR7BeG9Jri8wrSgW_X-s4_	advr	9	Advanced R
bayes_rules01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGg3BSs7FW5_LPYfAyNft7I0	bayes_rules	1	Bayes Rules!
bayes_rules02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGj_iXxIxkutG3rUzh-Z5vi7	bayes_rules	2	Bayes Rules!
bayes_rules03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhtHrM2ZAQLzgDpvA-Bj2-m	bayes_rules	3	Bayes Rules!
bayes_rules04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgr7tq9xfZsr-jET5VJ6Q0U	bayes_rules	4	Bayes Rules!
comp_genom01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjAvuW2kC0kKP_oCWK2omFt	comp_genom	1	Computational Genomics with R
comp_genom02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiJMkQo_HgHVrzVK4W6sA9d	comp_genom	2	Computational Genomics with R
datavisr01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjOid7KlCQ1f7gxGndV51Oc	datavisr	1	Data Visualization with R
deepr01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgLOd7uiInyAqtJgsLj1x4B	deepr	1	Deep R Programming
do4ds01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh_vdoVBZ0Tp3nOrOgY_XIZ	do4ds	1	DevOps for Data Science
dscl01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGggpv-3tcKBJ6-JKN5laj7K	dscl	1	Data Science at the Command Line
